ChargingStationCode,OccupancyTime0(seconds),OccupancyTime1(seconds),OccupancyTime2(seconds),OccupancyTime3(seconds),OccupancyTime4(seconds),OccupancyTime5(seconds),OccupancyTime6(seconds),OccupancyTime7(seconds),OccupancyTime8(seconds),OccupancyTime9(seconds),OccupancyTime10(seconds),OccupancyTime11(seconds),OccupancyTime12(seconds),OccupancyTime13(seconds),OccupancyTime14(seconds),OccupancyTime15(seconds),OccupancyTime16(seconds),OccupancyTime17(seconds),OccupancyTime18(seconds),OccupancyTime19(seconds),OccupancyTime20(seconds),OccupancyTime21(seconds),OccupancyTime22(seconds),OccupancyTime23(seconds)
CS40,4121.130797065251,7956.65869632776,11392.090219312335,14144.975274865858,17422.35347203711,21942.91215231486,24963.295918669457,29791.0457101291,33571.5951324415,36810.90587494236,41112.71367623514,45005.83633873988,48303.55840199798,51876.63187080311,54797.24990845287,57553.79627420528,62538.982870504165,65514.665281393725,69627.26520164858,73140.66105976718,77519.42807259328,81200.47649733865,84440.85336107455,87213.4666300223
CS42,4346.395539297757,7833.835031499848,11485.493642759453,14400.621078726545,18547.920740287092,21660.8494352711,24953.142843717378,29563.52664384255,33460.9046820728,37318.43222908179,41526.29483709074,44981.90717713136,48893.54757989823,52269.07746345784,55554.56850399142,58269.01743606923,62056.617580274506,65836.24839732438,69893.28033291009,73297.45934162791,77310.43232540532,80645.23481208557,84014.42101098232,87624.67623651309
CS44,4215.906691373237,7952.814871500659,11693.799200162704,14916.662483360993,18797.90738866733,22071.898872327834,26437.058220351057,29268.24142367216,33743.41920431589,37447.03443098993,41627.39627831499,44996.71605183474,48779.69778724992,52271.17656205228,55455.13210721048,58563.19023731199,62317.101308796,65814.4875335096,69363.552881884,73932.78391931167,77457.30417404608,80527.49075561648,84156.31427831251,87619.7567001561
CS46,4572.193698228564,7569.6249574636295,11762.75434105205,14532.318155555331,18831.615865881413,22564.502638454538,25640.240509445728,29619.00311149866,33427.365477416904,37257.61684032878,41320.210106422775,44777.24740148177,49093.945768277044,52489.4166730871,55724.07148753606,57735.22077902922,62289.76770743698,65524.15111264645,69916.4319045346,73818.46374208726,77493.98189689568,81133.60285275399,83592.30655813369,87516.23753152056
CS48,4485.224489666886,8083.453621624273,10620.157899786389,14551.604852701665,18909.79251633032,22340.04815865208,25480.167746688952,29261.884617006242,33676.5106061093,37362.743385781905,41489.193415924754,45377.22124927029,48933.68529231408,52424.07661136494,55342.20068566241,57917.538939760016,62221.038085312284,65615.8972446315,69580.80608278928,73619.66421780667,77732.21715835271,81508.7601765453,84069.4076107827,87791.68603775474
CS60,4285.665515322455,7767.875470505859,10962.182577338785,14973.131436462882,17947.391638685465,20835.44452576726,25547.26799937324,29240.017555982566,33435.951417980345,37210.9567747138,41412.906159127706,44986.1468037693,48424.14237379276,51631.86974443683,54811.45256938884,58264.79488982985,62179.112638022954,65507.75179333195,69704.2741685263,72994.55592131536,77433.19898214914,80574.52576338932,84270.96362155453,87737.3991660172
CS62,4552.555848456295,7964.604162548117,11697.38245217804,14838.745699000647,18705.796137143865,22332.9901890116,26102.451518680897,29434.66933441331,33486.05070799363,36946.947614845136,41576.47685023914,45364.67640046347,48784.36852155187,52612.208486354044,55425.23824738037,58647.59958247657,62373.39262350577,65849.41403241585,70078.74297037281,73672.40572767699,77641.36028323324,80830.06182504121,84250.17287273364,87533.07111435042
CS64,4165.551636886549,7633.8389567276245,11552.805897984352,15486.811619117934,18471.506405276676,22240.424476701075,25915.91960240572,29561.759664608155,33493.563325823176,37637.51400636919,41393.62431926838,45227.261023839084,48729.346076618465,52172.6920942951,55666.715357129135,58384.16707765132,62399.05729350376,66042.48297634025,69634.98000280863,73755.90518118869,77451.2251237785,81359.26804156534,84209.5793780693,87220.53789101735
CS66,4456.095164159104,8093.525283384846,10621.283824140668,15159.538061015173,18973.77331178306,22378.95076813089,26396.330453082275,29875.466015314432,33620.764173888594,37758.34907171078,41615.43007246458,44794.4500005964,48876.13982912686,51818.55179508011,55384.006274173065,58771.57072662905,61809.862215586756,65888.87934022147,70046.60151515869,74027.0150401756,77418.7287300553,81321.96728947776,83617.43949492105,87691.75300921159
CS68,4575.207376640484,7872.932677004572,11109.825934186927,15142.988592887814,18860.179689658227,21803.865433967876,26141.16598315607,29051.889797278793,33294.71135490283,37651.99792383922,41248.28563703178,45383.6351093889,48846.40471053448,52192.528904740226,54973.22266325191,58857.82599145882,61961.281120531086,65703.08453494805,69997.15736898695,73763.7705171377,77867.1048652408,81064.9413109714,84305.75776141117,87692.57997550604
CS80,1914.2640157929143,7076.28774157572,10615.136946781859,13395.388022592822,18436.799584985758,21457.522096860506,25719.958287478836,29003.933451857083,32611.428096533065,37218.17177091359,41420.21396996885,44169.598578022094,48133.8232977564,52000.9043731959,54832.01881949662,58841.4797265756,61971.88122242434,65307.638201137845,69501.9782430304,73246.8544718362,76959.05764649196,80896.8981187055,83707.26975488698,86385.28159980124
CS82,4053.8953775448763,7723.268818084146,10966.143368052259,14915.628882865003,18298.69638954682,21665.050933874052,26045.405255334583,29601.172125413752,33037.77810734356,37487.69671948861,41408.63469749872,44792.74517771031,48462.90329828248,51779.38439717713,55009.16453842208,58562.09129871536,62134.406678506595,65610.06607097255,69582.7479553748,73248.91096137425,77765.93179427713,80625.54581276407,83927.292458271,87655.82779417728
CS84,4022.237496536688,8373.244538773968,11227.248903886544,15245.765717041388,18340.75342568801,22476.64365223865,25515.73248629022,29024.425435839603,33285.43590322832,37228.628233349846,41306.14642658582,45305.01912143203,48807.76135669173,52224.02894859621,55194.848393392356,58486.15607986927,62267.13191333286,65599.7380299637,69857.75599638771,73727.91082556054,77490.60286540704,80895.19108214596,83665.40672721718,87556.4970447009
CS86,4301.06952114497,8085.025596549505,10405.32926500161,15420.813524601146,18953.18159837649,22332.45694382587,25602.857840359236,29360.44645507741,33751.1352741401,37464.939085953614,41036.10061811889,45375.56914173704,48945.57077042438,52353.00680192285,55414.12851186145,58726.91397619285,62204.25875400397,66101.35658603263,69924.59065889921,73954.67338937109,77808.05592785902,81262.16739896977,83929.19686067099,87134.16080468101
CS88,4047.2491844504343,7448.965644708733,10285.40254374038,15218.715349153954,18855.785226131975,21836.14649408982,25525.770296005645,29750.39751448612,33467.58235398487,37253.85332875286,41390.39891877878,45458.29794771828,48846.3518266515,52077.968712906455,54675.78316652296,58595.843760725336,61205.90784240672,66220.32187173214,69902.80221378032,73908.27155814473,77770.18410888613,81229.1815385473,83949.40954160094,86854.83421770835
